you,შენ / თქვენ
handle,"მართვა, გამკლავება"
middle,შუა
buddy,"მეგობარი, მოყვარე"
paid,გადახდილი
protect,დაცვა
using,[რაღაცის] გამოყენებით
floor,იატაკი
swear,დაფიცება
spend,დახარჯვა
situation,სიტუაცია
ring,რეკვა
anywhere,სადმე
dangerous,საშიში
bill,კუპიურა / ანგარიში / კანონპროექტი
army,არმია
lead,გაძღოლა / ტყვია 
bought,შეიძინა
finished,დამთავრება
fair,სამართლიანი
sun,მზე
letter,წერილი
fool,სულელი 
attention,ყურადღება
club,კლუბი
simple,უბრალო
interesting,საინტერესო
space,სივრცე
test,ტესტი / ექსპერიმენტი / სინჯვა
box,ყუთი / კოლოფი
group,დაჯგუფება
single,მარტოხელა
sitting,სხდომა / მჯდომი
marriage,ქორწინება
join,შეერთება
fear,შიში
peace,მშვიდობა
forgot,დაავიწყდა
force,ძალა
short,მოკლე
normal,ნორმალური
present,საჩუქარი / აწმყო
enjoy,ისიამოვნე
crime,"დანაშაული, კრიმინალი"
horse,ცხენი
ground,მიწა
american,ამერიკელი 
count,დათვლა
area,ფართობი
charge,დამუხტვა / საფასურის გადახდევინება
honor,პატივი
lunch,ლანჩი
miles,მილი
radio,რადიო
idiot,იდიოტი 
ball,ბურთი
surprise,სიურპრიზი
paper,ქაღალდი
key,გასაღები
boat,ნავი
quickly,ჩქარა
gold,ოქრო
bar,ბარი
fish,თევზი
mark,"ნიშანი, აღნიშვნა"
wearing,აცვია / ატარებს
crying,ტირილი
accident,შემთხვევა
government,მთავრობა
fell,დაეცა
cover,საფარი
certain,განსაზღვრული
interested,დაინტერესებული
deep,ღრმა
star,ვარსკვლავი
sea,ზღვა
agree,დათანხმება
problems,პრობლემები
detective,დეტექტივი
prison,ციხე
major,"მაიორი, ძირითადი"
stick,ჯოხი
offer,შეთავაზება
difficult,ძნელი
smart,ჭკვიანი
personal,პირადი
record,რეკორდი
stopped,შეჩერდა
hide,დამალვა
whether,თუ
bank,ბანკი
trip,მოგზაურობა
relax,მოდუნება
public,სახალხო
list,სია
afternoon,ნაშუადღევი
brain,ტვინი
fix,მიმაგრება
bastard,ნაბიჭვარი
proud,ამაყი
tea,ჩაი
service,"მომსახურება, სერვისი"
screaming,ყვირილი
forward,წინ
angry,გაბრაზებული
park,პარკი
soul,სული
fighting,ბრძოლა
rich,მდიდარი
agent,აგენტი 
blow,"შებერვა, გაბერვა"
dress,კაბა
missed,"გამოტოვებული, გაცდენილი"
scene,სცენა
killing,მოკვლა
standing,მდგომი
saved,გადაარჩინა
respect,პატივისცემა
killer,მკვლელი 
ice,ყინული
mess,არეულობა
tough,"მაგარი, ძნელი"
feels,გრძნობს
church,ეკლესია
sad,ნაღვლიანი
cell,უჯრედი / საკანი
drunk,მთვრალი
share,გაზიარება
camera,კამერა
within,-ში
card,ბარათი
fly,ფრენა
girlfriend,მეგობარი გოგო
laugh,გაცინება
smell,სუნი
broken,გატეხილი
mum,დედა
honest,გულწრფელი
often,ხშირად
starting,იწყება
calls,ზარები
spent,დახარჯული
third,მესამე
visit,ვიზიტი
judge,მოსამართლე
window,ფანჯარა
hungry,მშიერი
dare,გაბედვა
relationship,ურთიერთობა
moved,გადავიდა
prove,დამტკიცება
private,კერძო
wall,კედელი
seat,"სკამი, ადგილი"
position,პოზიცია
realize,განხორციელება
lt,ეს
especially,განსაკუთრებით
machine,მანქანა
walking,სიარული
art,ხელოვნება
pleasure,სიამოვნება
bloody,სისხლიანი
college,კოლეჯი
french,ფრანგი
involved,ჩართული
cry,ტირილი
became,გახდა
lived,ცხოვრობდა
impossible,შეუძლებელი
obviously,აშკარად
neither,არც ეს
accept,მიღება
boyfriend,მეგობარი ბიჭი
besides,გარდა ამისა
queen,დედოფალი
teacher,მასწავლებელი 
cops,პოლიციელები
sake,გულისთვის
loves,უყვარს
carry,ტარება
teach,სწავლება
apartment,ბინა
upset,ნაწყენი
liked,მოწონებული
cute,საყვარელი
evil,ბოროტი
professor,პროფესორი 
contact,კონტაქტი
joke,ხუმრობა
cop,პოლიციელი
huge,უზარმაზარი
holy,წმინდა
store,მაღაზია
jail,ციხე
likes,მოსწონს
lawyer,ადვოკატი
doubt,დაეჭვება
continue,გაგრძელება
appreciate,დაფასება
cat,კატა
shop,მაღაზია
driving,მანქანის მართვა
congratulations,გილოცავ
wrote,დაწერა
village,სოფელი
quit,"მიტოვება, გამოსვლა"
field,მინდორი
wine,ღვინო
decision,გადაწყვეტილება
south,სამხრეთი
sleeping,ძინავს
slow,ნელი
laughter,სიცილი
island,კუნძული
glass,შუშა / ჭიქა
beginning,დასაწყისი
cash,ნაღდი ფული
dying,კვდება
whose,ვისიც
difference,განსხვავება
plane,თვითმფრინავი
push,ბიძგი
continues,გრძელდება
singing,მღერა
eating,ჭამა
tree,ხე
madam,ქალბატონი
gift,საჩუქარი
truck,სატვირთო მანქანა
bear,დათვი
board,"დაფა, ფიცარი, საბჭო"
grab,ხელის ჩავლება
beer,ლუდი
stuck,გაჭედილი
magic,მაგია
support,მხარდაჭერა
rules,წესები
grunts,წუწუნებს
partner,საქმიანი პარტნიორი 
reach,მიღწევა
wind,ქარი
colonel,პოლკოვნიკი
immediately,დაუყოვნებლივ
seconds,წამები
gives,აძლევს
experience,გამოცდილება
cheers,გაუმარჯოს
victim,მსხვერპლი 
upon,-ზე
computer,კომპიუტერი
christ,ქრისტე
planet,პლანეტა
promised,დაპირებული
bus,ავტობუსი
dirty,ჭუჭყიანი
search,ძებნა
staying,დარჩენა
dreams,სიზმრები
arrest,დაპატიმრება
holding,ხელში ჭერა
suddenly,მოულოდნელად
usually,ჩვეულებრივ
lots,ბევრი
shoes,ფეხსაცმელი
jump,ხტომა
rid,თავიდან მოშორება
knock,კაკუნი
owe,ვალის ქონა
grow,ზრდა
worst,ყველაზე უარესი
river,მდინარე
aunt,მამიდა
patient,პაციენტი ქალი
kitchen,სამზარეულო
fat,"ცხიმი, მსუქანი"
passed,გასული
final,ფინალი
summer,ზაფხული
listening,მოსმენა
escape,გაქცევა
everywhere,ყველგან
moon,მთვარე
arms,მკლავები / შეიარაღება
turns,"მობრუნება, მოსახვევი"
address,მისამართი
match,"მატჩი, შეესაბამება"
gasps,"იხუთება, მძიმედ სუნთქავს"
grand,გრანდიოზული
yep,დიახ
nervous,ნერვული
choose,არჩევა
themselves,თვითონ
decide,გადაწყვეტა
mate,"ამხანაგი, მეგობარი"
drinking,სმა
press,მიჭერა / პრესა
bother,შეწუხება
foot,ფეხი
blame,ბრალის დადება
crap,ნეხვი
drugs,წამალი / ნარკოტიკები
type,ტიპი
rings,ბეჭდები
mission,მისია
named,სახელად / დაასახელა
heaven,სამოთხე
picked,"აკრეფილი, მოკრეფილი, არჩეული"
race,რბოლა / რასა
risk,რისკი
books,წიგნები
further,უფრო შორს
action,მოქმედება
allowed,ნებადართული
orders,ბრძანებები
learned,ისწავლა
price,ფასი
arrived,ჩავიდა
otherwise,წინააღმდეგ შემთხვევაში
pictures,სურათები
fit,"მორგება, შესაბამისობა"
smoke,მოწევა / კვამლი
favor,"ხელშეწყობა, დახმარება"
played,ითამაშა
notice,"განცხადება, შენიშვნა"
awesome,გასაოცარია
smile,გაღიმება
director,დირექტორი 
guard,მცველი 
begin,დაწყება
spot,ლაქა
surprised,გაკვირვებული
innocent,უდანაშაულო
narrator,მთხრობელი
herself,თვითონ
feelings,გრძნობები
enemy,მტერი
battle,ბრძოლა
ourselves,ჩვენ თვითონ
dollars,დოლარები
allow,ნებართვის მიცემა
gay,"გეი, ჰომოსექსუალი / მხიარული"
department,განყოფილება
guilty,დამნაშავე
apart,მოშორებით
earlier,უფრო ადრე
duty,მოვალეობა 
suit,კოსტიუმი
bell,ზარი
hero,გმირი
destroy,განადგურება
stage,სცენა
bunch,"კონა, ერთად შეჯგუფებული"
according,მიხედვით
chicken,წიწილა
bigger,უფრო დიდი 
grunting,"ღრიალი, ღრუტუნი"
low,დაბლა
helping,დახმარება
admit,აღიარება
closed,დაკეტილი
names,სახელები
witness,"თვითმხილველი, მოწმე"
upstairs,ზედა სართულზე
arm,"მხარი, შეიარაღება"
steal,მოპარვა
kick,"წიხლის კვრა, დარტყმა"
twice,ორჯერ
cross,ჯვარი
ways,გზები
indeed,ნამდვილად
gas,გაზი
keeping,შენახვა
energy,ენერგია
pregnant,ორსული
waste,დახარჯვა / ნაგავი
helped,დაეხმარა
fired,სამსახურიდან გათავისუფლებული
favorite,ფავორიტი
taste,გემო
locked,ჩაკეტილი
places,ადგილები
writing,წერა
brothers,ძმები
starts,იწყება
prince,პრინცი
form,ფორმა
sold,გაყიდული
silly,სულელური
mention,მოხსენიება
build,შენება
throat,ყელი
hole,ნახვრეტი
figured,ფიგურირებდა
track,"კვალი, ბილიკი / კურსი"
ringing,რეკვა
lock,დაკეტვა
above,-ზე
hiding,დამალვა
seemed,ჩანდა
breakfast,საუზმე
engine,ძრავა
written,დაწერილი
complete,სრული
video,ვიდეო
applause,ტაში
however,თუმცა
pressure,წნევა
fresh,ახალი
weapon,იარაღი
sky,ცა
stole,მოიპარეს
study,სწავლა
burn,დაწვა
reading,კითხვა
crowd,ბრბო
treat,მოპყრობა
roll,რულონი
double,ორმაგი
spirit,სული
danger,საშიშროება
cost,ღირებულება
empty,ცარიელი
level,დონე
memory,მეხსიერება
itself,თვითონ
acting,მოქმედი
interest,ინტერესი
nose,ცხვირი
plans,გეგმები
following,"მომდევნო, შემდეგი"
bathroom,აბაზანა
built,აშენებული
closer,ახლო
ray,სხივი
band,"ბენდი, ორკესტრი, სალტე"
groans,კვნესის
apparently,როგორც ჩანს
excited,აღელვებული
losing,"წაგება, დაკარგვა"
animals,ცხოველები
flight,ფრენა
nature,ბუნება
raise,აწევა
client,კლიენტი 
bomb,ბომბი
neck,კისერი
suspect,ეჭვმიტანილი 
warm,თბილი
extra,დამატებითი
bottle,ბოთლი
van,ფურგონი
heavy,მძიმე
mommy,დედიკო
dogs,ძაღლები
wild,ველური
ridiculous,"აბსურდული, სასაცილო, უაზრო"
simply,"უბრალოდ, მარტივად"
animal,ცხოველი
showed,აჩვენა
shooting,სროლა
keeps,"ინახავს, ინარჩუნებს"
camp,ბანაკი / კარავი
guns,იარაღები
medical,სამედიცინო
shame,სირცხვილი
hoping,იმედი
whom,ვის
bird,ფრინველი
majesty,უდიდებულესობა
flowers,ყვავილები
famous,ცნობილი
asleep,მძინარე
beauty,სილამაზე
driver,მძღოლი 
keys,გასაღებები
rain,წვიმა
awful,საშინელი
large,დიდი
local,ადგილობრივი
deserve,დამსახურება
goddamn,ჯანდაბა!
stone,ქვა
consider,მიჩნევა
weekend,შაბათ-კვირა
wondering,დაინტრესებული
lay,კვერცხის დადება / ნელა დადება
plenty,უამრავი
willing,მოსურნე
pants,შარვალი
sweetheart,საყვარელო
skin,კანი
excellent,საუკეთესო
beach,ზღვის ნაპირი
faith,რწმენა
beg,თხოვნა
responsible,პასუხისმგებელი
military,სამხედრო
cheering,გამხნევება / აპლოდისმენტები
opportunity,შესაძლოა
common,"საერთო, ფართოდ გავრცელებული"
bottom,"ფსკერი, ძირი"
german,გერმანელი
whoever,ვინმე
cook,"მზარეული , მომზადება კერძის"
walked,დადიოდა
papers,ნაშრომები
justice,სამართლიანობა
hall,დარბაზი
commander,მეთაური
drug,წამალი
main,მთავარი
knife,დანა
devil,ეშმაკი
necessary,აუცილებელი
although,თუმცა
princess,პრინცესა
lights,შუქები
flying,ფრენა / მფრინავი
rose,ვარდი
knowing,ცოდნა
clearly,"ცხადად, გარკვევით"
hat,ქუდი
agreed,შეთანხმებული
corner,კუთხე
code,კოდი
note,შენიშვნა
due,გამო
correct,სწორი
apologize,ბოდიშის მოხდა
language,ენა
stars,ვარსკვლავები
faster,უფრო სწრაფად
cars,ავტომანქანები
folks,ხალხი
bullshit,უაზრობა
fellow,მოძმე
several,რამდენიმე
grandma,ბებია
shows,აჩვენებს / სანახაობები
leader,ხელმძღვანელი 
leaves,ფოთლები
restaurant,რესტორანი
shouting,დაყვირება
blind,ბრმა
ghost,მოჩვენება
cup,ფინჯანი
tight,მჭიდრო
conversation,საუბარი
tells,მოგვითხრობს
lies,ტყუილები
nor,ვერც
pulled,გამოქაჩა
hanging,ჩამოკიდებული
speed,სისწრაფე
stories,"ისტორიები, მოთხრობები"
health,ჯანმრთელობა
advice,რჩევა
murdered,მოკლული
beyond,მიღმა
rule,წესი / მართვა
hardly,ძლივს
possibly,შესაძლოა
inspector,ინსპექტორი
cousin,"ბიძაშვილი, მამიდაშვილი, დეიდაშვილი"
trial,"გამოცდა, საცდელი"
emergency,განსაკუთრებული მდგომარება
ought,უნდა
somehow,როგორღაც
hearing,მოსმენა
states,შტატები
account,ანგარიში
spoke,ისაუბრა
file,საქაღალდე
understood,მიხვდა
angel,ანგელოზი
tape,"ფირი, ლენტა"
milk,რძე
powerful,ძლიერი
weapons,იარაღი
practice,ვარჯიში
manager,მმართველი 
pardon,უკაცრავად
